"","Species","Scenario","FDR","Year","Value","Metric"
"49","Canary Rockfish","Sampling",0.8,6,0.5992,"Biomass"
"50","Canary Rockfish","Sampling",0.8,7,0.6212,"Biomass"
"51","Canary Rockfish","Sampling",0.8,8,0.6338,"Biomass"
"52","Canary Rockfish","Sampling",0.8,9,0.6388,"Biomass"
"53","Canary Rockfish","Sampling",0.8,10,0.6464,"Biomass"
"54","Canary Rockfish","Sampling",0.8,11,0.6544,"Biomass"
"55","Canary Rockfish","Sampling",0.8,12,0.6558,"Biomass"
"56","Canary Rockfish","Sampling",0.8,13,0.6576,"Biomass"
"57","Canary Rockfish","Sampling",0.8,14,0.6564,"Biomass"
"58","Canary Rockfish","Sampling",0.8,15,0.6558,"Biomass"
"59","Canary Rockfish","Sampling",0.8,16,0.6556,"Biomass"
"60","Canary Rockfish","Sampling",0.8,17,0.6564,"Biomass"
"61","Canary Rockfish","Sampling",0.8,18,0.6604,"Biomass"
"62","Canary Rockfish","Sampling",0.8,19,0.6632,"Biomass"
"63","Canary Rockfish","Sampling",0.8,20,0.665,"Biomass"
"64","Canary Rockfish","Sampling",0.9,0,0,"Biomass"
"65","Canary Rockfish","Sampling",0.9,1,0,"Biomass"
"66","Canary Rockfish","Sampling",0.9,2,0.2746,"Biomass"
"67","Canary Rockfish","Sampling",0.9,3,0.4074,"Biomass"
"68","Canary Rockfish","Sampling",0.9,4,0.4822,"Biomass"
"69","Canary Rockfish","Sampling",0.9,5,0.5184,"Biomass"
"70","Canary Rockfish","Sampling",0.9,6,0.5432,"Biomass"
"71","Canary Rockfish","Sampling",0.9,7,0.551,"Biomass"
"72","Canary Rockfish","Sampling",0.9,8,0.556,"Biomass"
"73","Canary Rockfish","Sampling",0.9,9,0.5566,"Biomass"
"74","Canary Rockfish","Sampling",0.9,10,0.5572,"Biomass"
"75","Canary Rockfish","Sampling",0.9,11,0.56,"Biomass"
"76","Canary Rockfish","Sampling",0.9,12,0.5622,"Biomass"
"77","Canary Rockfish","Sampling",0.9,13,0.5626,"Biomass"
"78","Canary Rockfish","Sampling",0.9,14,0.5642,"Biomass"
"79","Canary Rockfish","Sampling",0.9,15,0.5652,"Biomass"
"80","Canary Rockfish","Sampling",0.9,16,0.5664,"Biomass"
"81","Canary Rockfish","Sampling",0.9,17,0.5708,"Biomass"
"82","Canary Rockfish","Sampling",0.9,18,0.5674,"Biomass"
"83","Canary Rockfish","Sampling",0.9,19,0.5658,"Biomass"
"84","Canary Rockfish","Sampling",0.9,20,0.5704,"Biomass"
"85","Canary Rockfish","Recruitment",0.6,0,0,"Biomass"
"86","Canary Rockfish","Recruitment",0.6,1,0.5104,"Biomass"
"87","Canary Rockfish","Recruitment",0.6,2,0.5968,"Biomass"
"88","Canary Rockfish","Recruitment",0.6,3,0.6732,"Biomass"
"89","Canary Rockfish","Recruitment",0.6,4,0.7244,"Biomass"
"90","Canary Rockfish","Recruitment",0.6,5,0.7622,"Biomass"
"91","Canary Rockfish","Recruitment",0.6,6,0.79,"Biomass"
"92","Canary Rockfish","Recruitment",0.6,7,0.815,"Biomass"
"93","Canary Rockfish","Recruitment",0.6,8,0.8422,"Biomass"
"94","Canary Rockfish","Recruitment",0.6,9,0.8724,"Biomass"
"95","Canary Rockfish","Recruitment",0.6,10,0.8992,"Biomass"
"96","Canary Rockfish","Recruitment",0.6,11,0.9254,"Biomass"
"97","Canary Rockfish","Recruitment",0.6,12,0.9456,"Biomass"
"98","Canary Rockfish","Recruitment",0.6,13,0.965,"Biomass"
"99","Canary Rockfish","Recruitment",0.6,14,0.9786,"Biomass"
"100","Canary Rockfish","Recruitment",0.6,15,0.9854,"Biomass"
"101","Canary Rockfish","Recruitment",0.6,16,0.9896,"Biomass"
"102","Canary Rockfish","Recruitment",0.6,17,0.9926,"Biomass"
"103","Canary Rockfish","Recruitment",0.6,18,0.9934,"Biomass"
"104","Canary Rockfish","Recruitment",0.6,19,0.994,"Biomass"
"105","Canary Rockfish","Recruitment",0.6,20,0.9938,"Biomass"
"106","Canary Rockfish","Recruitment",0.7,0,0,"Biomass"
"107","Canary Rockfish","Recruitment",0.7,1,0.503,"Biomass"
"108","Canary Rockfish","Recruitment",0.7,2,0.5962,"Biomass"
"109","Canary Rockfish","Recruitment",0.7,3,0.6738,"Biomass"
"110","Canary Rockfish","Recruitment",0.7,4,0.737,"Biomass"
"111","Canary Rockfish","Recruitment",0.7,5,0.7788,"Biomass"
"112","Canary Rockfish","Recruitment",0.7,6,0.8172,"Biomass"
"113","Canary Rockfish","Recruitment",0.7,7,0.8476,"Biomass"
"114","Canary Rockfish","Recruitment",0.7,8,0.8832,"Biomass"
"115","Canary Rockfish","Recruitment",0.7,9,0.9126,"Biomass"
"116","Canary Rockfish","Recruitment",0.7,10,0.9334,"Biomass"
"117","Canary Rockfish","Recruitment",0.7,11,0.955,"Biomass"
"118","Canary Rockfish","Recruitment",0.7,12,0.9674,"Biomass"
"119","Canary Rockfish","Recruitment",0.7,13,0.9722,"Biomass"
"120","Canary Rockfish","Recruitment",0.7,14,0.9756,"Biomass"
"121","Canary Rockfish","Recruitment",0.7,15,0.9764,"Biomass"
"122","Canary Rockfish","Recruitment",0.7,16,0.9764,"Biomass"
"123","Canary Rockfish","Recruitment",0.7,17,0.9766,"Biomass"
"124","Canary Rockfish","Recruitment",0.7,18,0.976,"Biomass"
"125","Canary Rockfish","Recruitment",0.7,19,0.9746,"Biomass"
"126","Canary Rockfish","Recruitment",0.7,20,0.973,"Biomass"
"127","Canary Rockfish","Recruitment",0.8,0,0,"Biomass"
"128","Canary Rockfish","Recruitment",0.8,1,0.4934,"Biomass"
"129","Canary Rockfish","Recruitment",0.8,2,0.5858,"Biomass"
"130","Canary Rockfish","Recruitment",0.8,3,0.6772,"Biomass"
"131","Canary Rockfish","Recruitment",0.8,4,0.737,"Biomass"
"132","Canary Rockfish","Recruitment",0.8,5,0.7826,"Biomass"
"133","Canary Rockfish","Recruitment",0.8,6,0.8222,"Biomass"
"134","Canary Rockfish","Recruitment",0.8,7,0.849,"Biomass"
"135","Canary Rockfish","Recruitment",0.8,8,0.8756,"Biomass"
"136","Canary Rockfish","Recruitment",0.8,9,0.8932,"Biomass"
"137","Canary Rockfish","Recruitment",0.8,10,0.9072,"Biomass"
"138","Canary Rockfish","Recruitment",0.8,11,0.9152,"Biomass"
"139","Canary Rockfish","Recruitment",0.8,12,0.9184,"Biomass"
"140","Canary Rockfish","Recruitment",0.8,13,0.92,"Biomass"
"141","Canary Rockfish","Recruitment",0.8,14,0.9192,"Biomass"
"142","Canary Rockfish","Recruitment",0.8,15,0.9186,"Biomass"
"143","Canary Rockfish","Recruitment",0.8,16,0.9162,"Biomass"
"144","Canary Rockfish","Recruitment",0.8,17,0.9146,"Biomass"
"145","Canary Rockfish","Recruitment",0.8,18,0.9126,"Biomass"
"146","Canary Rockfish","Recruitment",0.8,19,0.9126,"Biomass"
"147","Canary Rockfish","Recruitment",0.8,20,0.91,"Biomass"
"148","Canary Rockfish","Recruitment",0.9,0,0,"Biomass"
"149","Canary Rockfish","Recruitment",0.9,1,0.4966,"Biomass"
"150","Canary Rockfish","Recruitment",0.9,2,0.569,"Biomass"
"151","Canary Rockfish","Recruitment",0.9,3,0.6348,"Biomass"
"152","Canary Rockfish","Recruitment",0.9,4,0.6908,"Biomass"
"153","Canary Rockfish","Recruitment",0.9,5,0.725,"Biomass"
"154","Canary Rockfish","Recruitment",0.9,6,0.746,"Biomass"
"155","Canary Rockfish","Recruitment",0.9,7,0.755,"Biomass"
"156","Canary Rockfish","Recruitment",0.9,8,0.7624,"Biomass"
"157","Canary Rockfish","Recruitment",0.9,9,0.766,"Biomass"
"158","Canary Rockfish","Recruitment",0.9,10,0.7688,"Biomass"
"159","Canary Rockfish","Recruitment",0.9,11,0.7678,"Biomass"
"160","Canary Rockfish","Recruitment",0.9,12,0.769,"Biomass"
"161","Canary Rockfish","Recruitment",0.9,13,0.7696,"Biomass"
"162","Canary Rockfish","Recruitment",0.9,14,0.7692,"Biomass"
"163","Canary Rockfish","Recruitment",0.9,15,0.7644,"Biomass"
"164","Canary Rockfish","Recruitment",0.9,16,0.7634,"Biomass"
"165","Canary Rockfish","Recruitment",0.9,17,0.7622,"Biomass"
"166","Canary Rockfish","Recruitment",0.9,18,0.7614,"Biomass"
"167","Canary Rockfish","Recruitment",0.9,19,0.7584,"Biomass"
"168","Canary Rockfish","Recruitment",0.9,20,0.758,"Biomass"
"169","Canary Rockfish","Both",0.6,0,0,"Biomass"
"170","Canary Rockfish","Both",0.6,1,0.5016,"Biomass"
"171","Canary Rockfish","Both",0.6,2,0.552,"Biomass"
"172","Canary Rockfish","Both",0.6,3,0.5958,"Biomass"
"173","Canary Rockfish","Both",0.6,4,0.6374,"Biomass"
"174","Canary Rockfish","Both",0.6,5,0.6722,"Biomass"
"175","Canary Rockfish","Both",0.6,6,0.6968,"Biomass"
"176","Canary Rockfish","Both",0.6,7,0.7216,"Biomass"
"177","Canary Rockfish","Both",0.6,8,0.7416,"Biomass"
"178","Canary Rockfish","Both",0.6,9,0.7636,"Biomass"
"179","Canary Rockfish","Both",0.6,10,0.773,"Biomass"
"180","Canary Rockfish","Both",0.6,11,0.7864,"Biomass"
"181","Canary Rockfish","Both",0.6,12,0.797,"Biomass"
"182","Canary Rockfish","Both",0.6,13,0.8004,"Biomass"
"183","Canary Rockfish","Both",0.6,14,0.805,"Biomass"
"184","Canary Rockfish","Both",0.6,15,0.809,"Biomass"
"185","Canary Rockfish","Both",0.6,16,0.8128,"Biomass"
"186","Canary Rockfish","Both",0.6,17,0.8156,"Biomass"
"187","Canary Rockfish","Both",0.6,18,0.8176,"Biomass"
"188","Canary Rockfish","Both",0.6,19,0.8198,"Biomass"
"189","Canary Rockfish","Both",0.6,20,0.8204,"Biomass"
"190","Canary Rockfish","Both",0.7,0,0,"Biomass"
"191","Canary Rockfish","Both",0.7,1,0.4958,"Biomass"
"192","Canary Rockfish","Both",0.7,2,0.5396,"Biomass"
"193","Canary Rockfish","Both",0.7,3,0.577,"Biomass"
"194","Canary Rockfish","Both",0.7,4,0.6028,"Biomass"
"195","Canary Rockfish","Both",0.7,5,0.6196,"Biomass"
"196","Canary Rockfish","Both",0.7,6,0.6364,"Biomass"
"197","Canary Rockfish","Both",0.7,7,0.6552,"Biomass"
"198","Canary Rockfish","Both",0.7,8,0.672,"Biomass"
"199","Canary Rockfish","Both",0.7,9,0.6856,"Biomass"
"200","Canary Rockfish","Both",0.7,10,0.6952,"Biomass"
"201","Canary Rockfish","Both",0.7,11,0.7046,"Biomass"
"202","Canary Rockfish","Both",0.7,12,0.713,"Biomass"
"203","Canary Rockfish","Both",0.7,13,0.7168,"Biomass"
"204","Canary Rockfish","Both",0.7,14,0.7222,"Biomass"
"205","Canary Rockfish","Both",0.7,15,0.7254,"Biomass"
"206","Canary Rockfish","Both",0.7,16,0.7292,"Biomass"
"207","Canary Rockfish","Both",0.7,17,0.732,"Biomass"
"208","Canary Rockfish","Both",0.7,18,0.734,"Biomass"
"209","Canary Rockfish","Both",0.7,19,0.7342,"Biomass"
"210","Canary Rockfish","Both",0.7,20,0.7364,"Biomass"
"211","Canary Rockfish","Both",0.8,0,0,"Biomass"
"212","Canary Rockfish","Both",0.8,1,0.4928,"Biomass"
"213","Canary Rockfish","Both",0.8,2,0.5176,"Biomass"
"214","Canary Rockfish","Both",0.8,3,0.5462,"Biomass"
"215","Canary Rockfish","Both",0.8,4,0.5656,"Biomass"
"216","Canary Rockfish","Both",0.8,5,0.5736,"Biomass"
"217","Canary Rockfish","Both",0.8,6,0.5846,"Biomass"
"218","Canary Rockfish","Both",0.8,7,0.6012,"Biomass"
"219","Canary Rockfish","Both",0.8,8,0.612,"Biomass"
"220","Canary Rockfish","Both",0.8,9,0.626,"Biomass"
"221","Canary Rockfish","Both",0.8,10,0.6306,"Biomass"
"222","Canary Rockfish","Both",0.8,11,0.6398,"Biomass"
"223","Canary Rockfish","Both",0.8,12,0.6434,"Biomass"
"224","Canary Rockfish","Both",0.8,13,0.6518,"Biomass"
"225","Canary Rockfish","Both",0.8,14,0.6584,"Biomass"
"226","Canary Rockfish","Both",0.8,15,0.656,"Biomass"
"227","Canary Rockfish","Both",0.8,16,0.6614,"Biomass"
"228","Canary Rockfish","Both",0.8,17,0.664,"Biomass"
"229","Canary Rockfish","Both",0.8,18,0.6678,"Biomass"
"230","Canary Rockfish","Both",0.8,19,0.6698,"Biomass"
"231","Canary Rockfish","Both",0.8,20,0.6702,"Biomass"
"232","Canary Rockfish","Both",0.9,0,0,"Biomass"
"233","Canary Rockfish","Both",0.9,1,0.5014,"Biomass"
"234","Canary Rockfish","Both",0.9,2,0.5148,"Biomass"
"235","Canary Rockfish","Both",0.9,3,0.523,"Biomass"
"236","Canary Rockfish","Both",0.9,4,0.5264,"Biomass"
"237","Canary Rockfish","Both",0.9,5,0.5386,"Biomass"
"238","Canary Rockfish","Both",0.9,6,0.5474,"Biomass"
"239","Canary Rockfish","Both",0.9,7,0.5502,"Biomass"
"240","Canary Rockfish","Both",0.9,8,0.5522,"Biomass"
"241","Canary Rockfish","Both",0.9,9,0.552,"Biomass"
"242","Canary Rockfish","Both",0.9,10,0.553,"Biomass"
"243","Canary Rockfish","Both",0.9,11,0.55,"Biomass"
"244","Canary Rockfish","Both",0.9,12,0.555,"Biomass"
"245","Canary Rockfish","Both",0.9,13,0.5572,"Biomass"
"246","Canary Rockfish","Both",0.9,14,0.5612,"Biomass"
"247","Canary Rockfish","Both",0.9,15,0.5612,"Biomass"
"248","Canary Rockfish","Both",0.9,16,0.5638,"Biomass"
"249","Canary Rockfish","Both",0.9,17,0.567,"Biomass"
"250","Canary Rockfish","Both",0.9,18,0.5716,"Biomass"
"251","Canary Rockfish","Both",0.9,19,0.5724,"Biomass"
"252","Canary Rockfish","Both",0.9,20,0.5762,"Biomass"
"253","Black Rockfish","Sampling",0.6,0,0,"Biomass"
"254","Black Rockfish","Sampling",0.6,1,0,"Biomass"
"255","Black Rockfish","Sampling",0.6,2,0.3586,"Biomass"
"256","Black Rockfish","Sampling",0.6,3,0.5454,"Biomass"
"257","Black Rockfish","Sampling",0.6,4,0.643,"Biomass"
"258","Black Rockfish","Sampling",0.6,5,0.6986,"Biomass"
"259","Black Rockfish","Sampling",0.6,6,0.7294,"Biomass"
"260","Black Rockfish","Sampling",0.6,7,0.75,"Biomass"
"261","Black Rockfish","Sampling",0.6,8,0.753,"Biomass"
"262","Black Rockfish","Sampling",0.6,9,0.7572,"Biomass"
"263","Black Rockfish","Sampling",0.6,10,0.7616,"Biomass"
"264","Black Rockfish","Sampling",0.6,11,0.7592,"Biomass"
"265","Black Rockfish","Sampling",0.6,12,0.7572,"Biomass"
"266","Black Rockfish","Sampling",0.6,13,0.7562,"Biomass"
"267","Black Rockfish","Sampling",0.6,14,0.7542,"Biomass"
"268","Black Rockfish","Sampling",0.6,15,0.7484,"Biomass"
"269","Black Rockfish","Sampling",0.6,16,0.7428,"Biomass"
"270","Black Rockfish","Sampling",0.6,17,0.7368,"Biomass"
"271","Black Rockfish","Sampling",0.6,18,0.7334,"Biomass"
"272","Black Rockfish","Sampling",0.6,19,0.7284,"Biomass"
"273","Black Rockfish","Sampling",0.6,20,0.724,"Biomass"
"274","Black Rockfish","Sampling",0.7,0,0,"Biomass"
"275","Black Rockfish","Sampling",0.7,1,0,"Biomass"
"276","Black Rockfish","Sampling",0.7,2,0.342,"Biomass"
"277","Black Rockfish","Sampling",0.7,3,0.5118,"Biomass"
"278","Black Rockfish","Sampling",0.7,4,0.5988,"Biomass"
"279","Black Rockfish","Sampling",0.7,5,0.649,"Biomass"
"280","Black Rockfish","Sampling",0.7,6,0.6758,"Biomass"
"281","Black Rockfish","Sampling",0.7,7,0.686,"Biomass"
"282","Black Rockfish","Sampling",0.7,8,0.6984,"Biomass"
"283","Black Rockfish","Sampling",0.7,9,0.7052,"Biomass"
"284","Black Rockfish","Sampling",0.7,10,0.7078,"Biomass"
"285","Black Rockfish","Sampling",0.7,11,0.707,"Biomass"
"286","Black Rockfish","Sampling",0.7,12,0.7014,"Biomass"
"287","Black Rockfish","Sampling",0.7,13,0.698,"Biomass"
"288","Black Rockfish","Sampling",0.7,14,0.6958,"Biomass"
"289","Black Rockfish","Sampling",0.7,15,0.6896,"Biomass"
"290","Black Rockfish","Sampling",0.7,16,0.6864,"Biomass"
"291","Black Rockfish","Sampling",0.7,17,0.6854,"Biomass"
"292","Black Rockfish","Sampling",0.7,18,0.6782,"Biomass"
"293","Black Rockfish","Sampling",0.7,19,0.675,"Biomass"
"294","Black Rockfish","Sampling",0.7,20,0.6692,"Biomass"
"295","Black Rockfish","Sampling",0.8,0,0,"Biomass"
"296","Black Rockfish","Sampling",0.8,1,0,"Biomass"
"297","Black Rockfish","Sampling",0.8,2,0.3004,"Biomass"
"298","Black Rockfish","Sampling",0.8,3,0.445,"Biomass"
"299","Black Rockfish","Sampling",0.8,4,0.5302,"Biomass"
"300","Black Rockfish","Sampling",0.8,5,0.571,"Biomass"
"301","Black Rockfish","Sampling",0.8,6,0.596,"Biomass"
"302","Black Rockfish","Sampling",0.8,7,0.613,"Biomass"
"303","Black Rockfish","Sampling",0.8,8,0.6162,"Biomass"
"304","Black Rockfish","Sampling",0.8,9,0.624,"Biomass"
"305","Black Rockfish","Sampling",0.8,10,0.623,"Biomass"
"306","Black Rockfish","Sampling",0.8,11,0.6254,"Biomass"
"307","Black Rockfish","Sampling",0.8,12,0.6266,"Biomass"
"308","Black Rockfish","Sampling",0.8,13,0.6262,"Biomass"
"309","Black Rockfish","Sampling",0.8,14,0.6218,"Biomass"
"310","Black Rockfish","Sampling",0.8,15,0.6202,"Biomass"
"311","Black Rockfish","Sampling",0.8,16,0.6224,"Biomass"
"312","Black Rockfish","Sampling",0.8,17,0.6246,"Biomass"
"313","Black Rockfish","Sampling",0.8,18,0.6228,"Biomass"
"314","Black Rockfish","Sampling",0.8,19,0.617,"Biomass"
"315","Black Rockfish","Sampling",0.8,20,0.6158,"Biomass"
"316","Black Rockfish","Sampling",0.9,0,0,"Biomass"
"317","Black Rockfish","Sampling",0.9,1,0,"Biomass"
"318","Black Rockfish","Sampling",0.9,2,0.2784,"Biomass"
"319","Black Rockfish","Sampling",0.9,3,0.4138,"Biomass"
"320","Black Rockfish","Sampling",0.9,4,0.4844,"Biomass"
"321","Black Rockfish","Sampling",0.9,5,0.525,"Biomass"
"322","Black Rockfish","Sampling",0.9,6,0.5378,"Biomass"
"323","Black Rockfish","Sampling",0.9,7,0.544,"Biomass"
"324","Black Rockfish","Sampling",0.9,8,0.5456,"Biomass"
"325","Black Rockfish","Sampling",0.9,9,0.5492,"Biomass"
"326","Black Rockfish","Sampling",0.9,10,0.5498,"Biomass"
"327","Black Rockfish","Sampling",0.9,11,0.549,"Biomass"
"328","Black Rockfish","Sampling",0.9,12,0.5494,"Biomass"
"329","Black Rockfish","Sampling",0.9,13,0.5492,"Biomass"
"330","Black Rockfish","Sampling",0.9,14,0.5536,"Biomass"
"331","Black Rockfish","Sampling",0.9,15,0.5512,"Biomass"
"332","Black Rockfish","Sampling",0.9,16,0.5494,"Biomass"
"333","Black Rockfish","Sampling",0.9,17,0.5462,"Biomass"
"334","Black Rockfish","Sampling",0.9,18,0.5428,"Biomass"
"335","Black Rockfish","Sampling",0.9,19,0.542,"Biomass"
"336","Black Rockfish","Sampling",0.9,20,0.5404,"Biomass"
"337","Black Rockfish","Recruitment",0.6,0,0,"Biomass"
"338","Black Rockfish","Recruitment",0.6,1,0.5012,"Biomass"
"339","Black Rockfish","Recruitment",0.6,2,0.5358,"Biomass"
"340","Black Rockfish","Recruitment",0.6,3,0.5748,"Biomass"
"341","Black Rockfish","Recruitment",0.6,4,0.6226,"Biomass"
"342","Black Rockfish","Recruitment",0.6,5,0.6632,"Biomass"
"343","Black Rockfish","Recruitment",0.6,6,0.6982,"Biomass"
"344","Black Rockfish","Recruitment",0.6,7,0.737,"Biomass"
"345","Black Rockfish","Recruitment",0.6,8,0.7596,"Biomass"
"346","Black Rockfish","Recruitment",0.6,9,0.775,"Biomass"
"347","Black Rockfish","Recruitment",0.6,10,0.7888,"Biomass"
"348","Black Rockfish","Recruitment",0.6,11,0.7982,"Biomass"
"349","Black Rockfish","Recruitment",0.6,12,0.8044,"Biomass"
"350","Black Rockfish","Recruitment",0.6,13,0.797,"Biomass"
"351","Black Rockfish","Recruitment",0.6,14,0.7896,"Biomass"
"352","Black Rockfish","Recruitment",0.6,15,0.7778,"Biomass"
"353","Black Rockfish","Recruitment",0.6,16,0.7652,"Biomass"
"354","Black Rockfish","Recruitment",0.6,17,0.751,"Biomass"
"355","Black Rockfish","Recruitment",0.6,18,0.7356,"Biomass"
"356","Black Rockfish","Recruitment",0.6,19,0.7138,"Biomass"
"357","Black Rockfish","Recruitment",0.6,20,0.6948,"Biomass"
"358","Black Rockfish","Recruitment",0.7,0,0,"Biomass"
"359","Black Rockfish","Recruitment",0.7,1,0.507,"Biomass"
"360","Black Rockfish","Recruitment",0.7,2,0.5386,"Biomass"
"361","Black Rockfish","Recruitment",0.7,3,0.5754,"Biomass"
"362","Black Rockfish","Recruitment",0.7,4,0.629,"Biomass"
"363","Black Rockfish","Recruitment",0.7,5,0.6726,"Biomass"
"364","Black Rockfish","Recruitment",0.7,6,0.7048,"Biomass"
"365","Black Rockfish","Recruitment",0.7,7,0.7344,"Biomass"
"366","Black Rockfish","Recruitment",0.7,8,0.7514,"Biomass"
"367","Black Rockfish","Recruitment",0.7,9,0.7664,"Biomass"
"368","Black Rockfish","Recruitment",0.7,10,0.7664,"Biomass"
"369","Black Rockfish","Recruitment",0.7,11,0.7676,"Biomass"
"370","Black Rockfish","Recruitment",0.7,12,0.7602,"Biomass"
"371","Black Rockfish","Recruitment",0.7,13,0.7578,"Biomass"
"372","Black Rockfish","Recruitment",0.7,14,0.7464,"Biomass"
"373","Black Rockfish","Recruitment",0.7,15,0.7338,"Biomass"
"374","Black Rockfish","Recruitment",0.7,16,0.7268,"Biomass"
"375","Black Rockfish","Recruitment",0.7,17,0.7166,"Biomass"
"376","Black Rockfish","Recruitment",0.7,18,0.7018,"Biomass"
"377","Black Rockfish","Recruitment",0.7,19,0.6868,"Biomass"
"378","Black Rockfish","Recruitment",0.7,20,0.6698,"Biomass"
"379","Black Rockfish","Recruitment",0.8,0,0,"Biomass"
"380","Black Rockfish","Recruitment",0.8,1,0.5,"Biomass"
"381","Black Rockfish","Recruitment",0.8,2,0.536,"Biomass"
"382","Black Rockfish","Recruitment",0.8,3,0.5828,"Biomass"
"383","Black Rockfish","Recruitment",0.8,4,0.6184,"Biomass"
"384","Black Rockfish","Recruitment",0.8,5,0.647,"Biomass"
"385","Black Rockfish","Recruitment",0.8,6,0.67,"Biomass"
"386","Black Rockfish","Recruitment",0.8,7,0.6836,"Biomass"
"387","Black Rockfish","Recruitment",0.8,8,0.6916,"Biomass"
"388","Black Rockfish","Recruitment",0.8,9,0.6976,"Biomass"
"389","Black Rockfish","Recruitment",0.8,10,0.7002,"Biomass"
"390","Black Rockfish","Recruitment",0.8,11,0.6958,"Biomass"
"391","Black Rockfish","Recruitment",0.8,12,0.6926,"Biomass"
"392","Black Rockfish","Recruitment",0.8,13,0.6866,"Biomass"
"393","Black Rockfish","Recruitment",0.8,14,0.6828,"Biomass"
"394","Black Rockfish","Recruitment",0.8,15,0.6768,"Biomass"
"395","Black Rockfish","Recruitment",0.8,16,0.6666,"Biomass"
"396","Black Rockfish","Recruitment",0.8,17,0.6618,"Biomass"
"397","Black Rockfish","Recruitment",0.8,18,0.6534,"Biomass"
"398","Black Rockfish","Recruitment",0.8,19,0.6426,"Biomass"
"399","Black Rockfish","Recruitment",0.8,20,0.6396,"Biomass"
"400","Black Rockfish","Recruitment",0.9,0,0,"Biomass"
"401","Black Rockfish","Recruitment",0.9,1,0.5124,"Biomass"
"402","Black Rockfish","Recruitment",0.9,2,0.5198,"Biomass"
"403","Black Rockfish","Recruitment",0.9,3,0.5456,"Biomass"
"404","Black Rockfish","Recruitment",0.9,4,0.5698,"Biomass"
"405","Black Rockfish","Recruitment",0.9,5,0.5796,"Biomass"
"406","Black Rockfish","Recruitment",0.9,6,0.583,"Biomass"
"407","Black Rockfish","Recruitment",0.9,7,0.5864,"Biomass"
"408","Black Rockfish","Recruitment",0.9,8,0.5884,"Biomass"
