"","Species","Scenario","FDR","Year","Value","Metric"
"49","Canary Rockfish","Sampling",0.8,6,0.6222,"Biomass"
"50","Canary Rockfish","Sampling",0.8,7,0.6366,"Biomass"
"51","Canary Rockfish","Sampling",0.8,8,0.6456,"Biomass"
"52","Canary Rockfish","Sampling",0.8,9,0.6546,"Biomass"
"53","Canary Rockfish","Sampling",0.8,10,0.6546,"Biomass"
"54","Canary Rockfish","Sampling",0.8,11,0.6606,"Biomass"
"55","Canary Rockfish","Sampling",0.8,12,0.6622,"Biomass"
"56","Canary Rockfish","Sampling",0.8,13,0.6682,"Biomass"
"57","Canary Rockfish","Sampling",0.8,14,0.6706,"Biomass"
"58","Canary Rockfish","Sampling",0.8,15,0.6764,"Biomass"
"59","Canary Rockfish","Sampling",0.8,16,0.6792,"Biomass"
"60","Canary Rockfish","Sampling",0.8,17,0.6824,"Biomass"
"61","Canary Rockfish","Sampling",0.8,18,0.682,"Biomass"
"62","Canary Rockfish","Sampling",0.8,19,0.6806,"Biomass"
"63","Canary Rockfish","Sampling",0.8,20,0.6816,"Biomass"
"64","Canary Rockfish","Sampling",0.9,0,0,"Biomass"
"65","Canary Rockfish","Sampling",0.9,1,0,"Biomass"
"66","Canary Rockfish","Sampling",0.9,2,0.277,"Biomass"
"67","Canary Rockfish","Sampling",0.9,3,0.412,"Biomass"
"68","Canary Rockfish","Sampling",0.9,4,0.4818,"Biomass"
"69","Canary Rockfish","Sampling",0.9,5,0.5224,"Biomass"
"70","Canary Rockfish","Sampling",0.9,6,0.5392,"Biomass"
"71","Canary Rockfish","Sampling",0.9,7,0.5518,"Biomass"
"72","Canary Rockfish","Sampling",0.9,8,0.5568,"Biomass"
"73","Canary Rockfish","Sampling",0.9,9,0.5594,"Biomass"
"74","Canary Rockfish","Sampling",0.9,10,0.559,"Biomass"
"75","Canary Rockfish","Sampling",0.9,11,0.5566,"Biomass"
"76","Canary Rockfish","Sampling",0.9,12,0.5564,"Biomass"
"77","Canary Rockfish","Sampling",0.9,13,0.5566,"Biomass"
"78","Canary Rockfish","Sampling",0.9,14,0.5572,"Biomass"
"79","Canary Rockfish","Sampling",0.9,15,0.5594,"Biomass"
"80","Canary Rockfish","Sampling",0.9,16,0.564,"Biomass"
"81","Canary Rockfish","Sampling",0.9,17,0.5642,"Biomass"
"82","Canary Rockfish","Sampling",0.9,18,0.565,"Biomass"
"83","Canary Rockfish","Sampling",0.9,19,0.5656,"Biomass"
"84","Canary Rockfish","Sampling",0.9,20,0.5684,"Biomass"
"85","Canary Rockfish","Recruitment",0.6,0,0,"Biomass"
"86","Canary Rockfish","Recruitment",0.6,1,0.5188,"Biomass"
"87","Canary Rockfish","Recruitment",0.6,2,0.5754,"Biomass"
"88","Canary Rockfish","Recruitment",0.6,3,0.6222,"Biomass"
"89","Canary Rockfish","Recruitment",0.6,4,0.6644,"Biomass"
"90","Canary Rockfish","Recruitment",0.6,5,0.6964,"Biomass"
"91","Canary Rockfish","Recruitment",0.6,6,0.7152,"Biomass"
"92","Canary Rockfish","Recruitment",0.6,7,0.7366,"Biomass"
"93","Canary Rockfish","Recruitment",0.6,8,0.7528,"Biomass"
"94","Canary Rockfish","Recruitment",0.6,9,0.7688,"Biomass"
"95","Canary Rockfish","Recruitment",0.6,10,0.781,"Biomass"
"96","Canary Rockfish","Recruitment",0.6,11,0.7894,"Biomass"
"97","Canary Rockfish","Recruitment",0.6,12,0.7982,"Biomass"
"98","Canary Rockfish","Recruitment",0.6,13,0.8088,"Biomass"
"99","Canary Rockfish","Recruitment",0.6,14,0.8204,"Biomass"
"100","Canary Rockfish","Recruitment",0.6,15,0.8338,"Biomass"
"101","Canary Rockfish","Recruitment",0.6,16,0.8508,"Biomass"
"102","Canary Rockfish","Recruitment",0.6,17,0.8722,"Biomass"
"103","Canary Rockfish","Recruitment",0.6,18,0.9,"Biomass"
"104","Canary Rockfish","Recruitment",0.6,19,0.9194,"Biomass"
"105","Canary Rockfish","Recruitment",0.6,20,0.9434,"Biomass"
"106","Canary Rockfish","Recruitment",0.7,0,0,"Biomass"
"107","Canary Rockfish","Recruitment",0.7,1,0.4968,"Biomass"
"108","Canary Rockfish","Recruitment",0.7,2,0.559,"Biomass"
"109","Canary Rockfish","Recruitment",0.7,3,0.6162,"Biomass"
"110","Canary Rockfish","Recruitment",0.7,4,0.658,"Biomass"
"111","Canary Rockfish","Recruitment",0.7,5,0.698,"Biomass"
"112","Canary Rockfish","Recruitment",0.7,6,0.7276,"Biomass"
"113","Canary Rockfish","Recruitment",0.7,7,0.7528,"Biomass"
"114","Canary Rockfish","Recruitment",0.7,8,0.774,"Biomass"
"115","Canary Rockfish","Recruitment",0.7,9,0.7894,"Biomass"
"116","Canary Rockfish","Recruitment",0.7,10,0.8064,"Biomass"
"117","Canary Rockfish","Recruitment",0.7,11,0.8176,"Biomass"
"118","Canary Rockfish","Recruitment",0.7,12,0.834,"Biomass"
"119","Canary Rockfish","Recruitment",0.7,13,0.8538,"Biomass"
"120","Canary Rockfish","Recruitment",0.7,14,0.8744,"Biomass"
"121","Canary Rockfish","Recruitment",0.7,15,0.8946,"Biomass"
"122","Canary Rockfish","Recruitment",0.7,16,0.9122,"Biomass"
"123","Canary Rockfish","Recruitment",0.7,17,0.9276,"Biomass"
"124","Canary Rockfish","Recruitment",0.7,18,0.9412,"Biomass"
"125","Canary Rockfish","Recruitment",0.7,19,0.9482,"Biomass"
"126","Canary Rockfish","Recruitment",0.7,20,0.9508,"Biomass"
"127","Canary Rockfish","Recruitment",0.8,0,0,"Biomass"
"128","Canary Rockfish","Recruitment",0.8,1,0.5068,"Biomass"
"129","Canary Rockfish","Recruitment",0.8,2,0.5634,"Biomass"
"130","Canary Rockfish","Recruitment",0.8,3,0.6204,"Biomass"
"131","Canary Rockfish","Recruitment",0.8,4,0.6652,"Biomass"
"132","Canary Rockfish","Recruitment",0.8,5,0.7062,"Biomass"
"133","Canary Rockfish","Recruitment",0.8,6,0.7442,"Biomass"
"134","Canary Rockfish","Recruitment",0.8,7,0.773,"Biomass"
"135","Canary Rockfish","Recruitment",0.8,8,0.7996,"Biomass"
"136","Canary Rockfish","Recruitment",0.8,9,0.8194,"Biomass"
"137","Canary Rockfish","Recruitment",0.8,10,0.8384,"Biomass"
"138","Canary Rockfish","Recruitment",0.8,11,0.8518,"Biomass"
"139","Canary Rockfish","Recruitment",0.8,12,0.865,"Biomass"
"140","Canary Rockfish","Recruitment",0.8,13,0.8758,"Biomass"
"141","Canary Rockfish","Recruitment",0.8,14,0.8866,"Biomass"
"142","Canary Rockfish","Recruitment",0.8,15,0.8928,"Biomass"
"143","Canary Rockfish","Recruitment",0.8,16,0.8956,"Biomass"
"144","Canary Rockfish","Recruitment",0.8,17,0.8988,"Biomass"
"145","Canary Rockfish","Recruitment",0.8,18,0.8966,"Biomass"
"146","Canary Rockfish","Recruitment",0.8,19,0.8952,"Biomass"
"147","Canary Rockfish","Recruitment",0.8,20,0.8944,"Biomass"
"148","Canary Rockfish","Recruitment",0.9,0,0,"Biomass"
"149","Canary Rockfish","Recruitment",0.9,1,0.4894,"Biomass"
"150","Canary Rockfish","Recruitment",0.9,2,0.5306,"Biomass"
"151","Canary Rockfish","Recruitment",0.9,3,0.5738,"Biomass"
"152","Canary Rockfish","Recruitment",0.9,4,0.6164,"Biomass"
"153","Canary Rockfish","Recruitment",0.9,5,0.65,"Biomass"
"154","Canary Rockfish","Recruitment",0.9,6,0.6756,"Biomass"
"155","Canary Rockfish","Recruitment",0.9,7,0.701,"Biomass"
"156","Canary Rockfish","Recruitment",0.9,8,0.7198,"Biomass"
"157","Canary Rockfish","Recruitment",0.9,9,0.7316,"Biomass"
"158","Canary Rockfish","Recruitment",0.9,10,0.738,"Biomass"
"159","Canary Rockfish","Recruitment",0.9,11,0.7454,"Biomass"
"160","Canary Rockfish","Recruitment",0.9,12,0.752,"Biomass"
"161","Canary Rockfish","Recruitment",0.9,13,0.751,"Biomass"
"162","Canary Rockfish","Recruitment",0.9,14,0.7518,"Biomass"
"163","Canary Rockfish","Recruitment",0.9,15,0.7544,"Biomass"
"164","Canary Rockfish","Recruitment",0.9,16,0.755,"Biomass"
"165","Canary Rockfish","Recruitment",0.9,17,0.7524,"Biomass"
"166","Canary Rockfish","Recruitment",0.9,18,0.7492,"Biomass"
"167","Canary Rockfish","Recruitment",0.9,19,0.7484,"Biomass"
"168","Canary Rockfish","Recruitment",0.9,20,0.7466,"Biomass"
"169","Canary Rockfish","Both",0.6,0,0,"Biomass"
"170","Canary Rockfish","Both",0.6,1,0.4938,"Biomass"
"171","Canary Rockfish","Both",0.6,2,0.5276,"Biomass"
"172","Canary Rockfish","Both",0.6,3,0.5558,"Biomass"
"173","Canary Rockfish","Both",0.6,4,0.5778,"Biomass"
"174","Canary Rockfish","Both",0.6,5,0.6092,"Biomass"
"175","Canary Rockfish","Both",0.6,6,0.6342,"Biomass"
"176","Canary Rockfish","Both",0.6,7,0.66,"Biomass"
"177","Canary Rockfish","Both",0.6,8,0.6834,"Biomass"
"178","Canary Rockfish","Both",0.6,9,0.7042,"Biomass"
"179","Canary Rockfish","Both",0.6,10,0.7194,"Biomass"
"180","Canary Rockfish","Both",0.6,11,0.7318,"Biomass"
"181","Canary Rockfish","Both",0.6,12,0.7482,"Biomass"
"182","Canary Rockfish","Both",0.6,13,0.765,"Biomass"
"183","Canary Rockfish","Both",0.6,14,0.7736,"Biomass"
"184","Canary Rockfish","Both",0.6,15,0.7862,"Biomass"
"185","Canary Rockfish","Both",0.6,16,0.7942,"Biomass"
"186","Canary Rockfish","Both",0.6,17,0.8002,"Biomass"
"187","Canary Rockfish","Both",0.6,18,0.8078,"Biomass"
"188","Canary Rockfish","Both",0.6,19,0.8152,"Biomass"
"189","Canary Rockfish","Both",0.6,20,0.8204,"Biomass"
"190","Canary Rockfish","Both",0.7,0,0,"Biomass"
"191","Canary Rockfish","Both",0.7,1,0.506,"Biomass"
"192","Canary Rockfish","Both",0.7,2,0.5318,"Biomass"
"193","Canary Rockfish","Both",0.7,3,0.5548,"Biomass"
"194","Canary Rockfish","Both",0.7,4,0.5744,"Biomass"
"195","Canary Rockfish","Both",0.7,5,0.595,"Biomass"
"196","Canary Rockfish","Both",0.7,6,0.6066,"Biomass"
"197","Canary Rockfish","Both",0.7,7,0.6248,"Biomass"
"198","Canary Rockfish","Both",0.7,8,0.6446,"Biomass"
"199","Canary Rockfish","Both",0.7,9,0.656,"Biomass"
"200","Canary Rockfish","Both",0.7,10,0.6658,"Biomass"
"201","Canary Rockfish","Both",0.7,11,0.6808,"Biomass"
"202","Canary Rockfish","Both",0.7,12,0.6906,"Biomass"
"203","Canary Rockfish","Both",0.7,13,0.6976,"Biomass"
"204","Canary Rockfish","Both",0.7,14,0.7042,"Biomass"
"205","Canary Rockfish","Both",0.7,15,0.7082,"Biomass"
"206","Canary Rockfish","Both",0.7,16,0.711,"Biomass"
"207","Canary Rockfish","Both",0.7,17,0.7168,"Biomass"
"208","Canary Rockfish","Both",0.7,18,0.7222,"Biomass"
"209","Canary Rockfish","Both",0.7,19,0.729,"Biomass"
"210","Canary Rockfish","Both",0.7,20,0.7332,"Biomass"
"211","Canary Rockfish","Both",0.8,0,0,"Biomass"
"212","Canary Rockfish","Both",0.8,1,0.5136,"Biomass"
"213","Canary Rockfish","Both",0.8,2,0.5152,"Biomass"
"214","Canary Rockfish","Both",0.8,3,0.5352,"Biomass"
"215","Canary Rockfish","Both",0.8,4,0.549,"Biomass"
"216","Canary Rockfish","Both",0.8,5,0.5588,"Biomass"
"217","Canary Rockfish","Both",0.8,6,0.5694,"Biomass"
"218","Canary Rockfish","Both",0.8,7,0.5798,"Biomass"
"219","Canary Rockfish","Both",0.8,8,0.5892,"Biomass"
"220","Canary Rockfish","Both",0.8,9,0.5978,"Biomass"
"221","Canary Rockfish","Both",0.8,10,0.608,"Biomass"
"222","Canary Rockfish","Both",0.8,11,0.6146,"Biomass"
"223","Canary Rockfish","Both",0.8,12,0.6228,"Biomass"
"224","Canary Rockfish","Both",0.8,13,0.6302,"Biomass"
"225","Canary Rockfish","Both",0.8,14,0.6346,"Biomass"
"226","Canary Rockfish","Both",0.8,15,0.6388,"Biomass"
"227","Canary Rockfish","Both",0.8,16,0.6436,"Biomass"
"228","Canary Rockfish","Both",0.8,17,0.6444,"Biomass"
"229","Canary Rockfish","Both",0.8,18,0.6502,"Biomass"
"230","Canary Rockfish","Both",0.8,19,0.6536,"Biomass"
"231","Canary Rockfish","Both",0.8,20,0.6596,"Biomass"
"232","Canary Rockfish","Both",0.9,0,0,"Biomass"
"233","Canary Rockfish","Both",0.9,1,0.5116,"Biomass"
"234","Canary Rockfish","Both",0.9,2,0.52,"Biomass"
"235","Canary Rockfish","Both",0.9,3,0.5268,"Biomass"
"236","Canary Rockfish","Both",0.9,4,0.5308,"Biomass"
"237","Canary Rockfish","Both",0.9,5,0.537,"Biomass"
"238","Canary Rockfish","Both",0.9,6,0.542,"Biomass"
"239","Canary Rockfish","Both",0.9,7,0.5418,"Biomass"
"240","Canary Rockfish","Both",0.9,8,0.5466,"Biomass"
"241","Canary Rockfish","Both",0.9,9,0.5506,"Biomass"
"242","Canary Rockfish","Both",0.9,10,0.5548,"Biomass"
"243","Canary Rockfish","Both",0.9,11,0.559,"Biomass"
"244","Canary Rockfish","Both",0.9,12,0.5634,"Biomass"
"245","Canary Rockfish","Both",0.9,13,0.567,"Biomass"
"246","Canary Rockfish","Both",0.9,14,0.5644,"Biomass"
"247","Canary Rockfish","Both",0.9,15,0.566,"Biomass"
"248","Canary Rockfish","Both",0.9,16,0.5638,"Biomass"
"249","Canary Rockfish","Both",0.9,17,0.5686,"Biomass"
"250","Canary Rockfish","Both",0.9,18,0.5702,"Biomass"
"251","Canary Rockfish","Both",0.9,19,0.5748,"Biomass"
"252","Canary Rockfish","Both",0.9,20,0.5776,"Biomass"
"253","Black Rockfish","Sampling",0.6,0,0,"Biomass"
"254","Black Rockfish","Sampling",0.6,1,0,"Biomass"
"255","Black Rockfish","Sampling",0.6,2,0.3668,"Biomass"
"256","Black Rockfish","Sampling",0.6,3,0.5396,"Biomass"
"257","Black Rockfish","Sampling",0.6,4,0.64,"Biomass"
"258","Black Rockfish","Sampling",0.6,5,0.6934,"Biomass"
"259","Black Rockfish","Sampling",0.6,6,0.7238,"Biomass"
"260","Black Rockfish","Sampling",0.6,7,0.7444,"Biomass"
"261","Black Rockfish","Sampling",0.6,8,0.7568,"Biomass"
"262","Black Rockfish","Sampling",0.6,9,0.7666,"Biomass"
"263","Black Rockfish","Sampling",0.6,10,0.7732,"Biomass"
"264","Black Rockfish","Sampling",0.6,11,0.7744,"Biomass"
"265","Black Rockfish","Sampling",0.6,12,0.769,"Biomass"
"266","Black Rockfish","Sampling",0.6,13,0.766,"Biomass"
"267","Black Rockfish","Sampling",0.6,14,0.7656,"Biomass"
"268","Black Rockfish","Sampling",0.6,15,0.7606,"Biomass"
"269","Black Rockfish","Sampling",0.6,16,0.7568,"Biomass"
"270","Black Rockfish","Sampling",0.6,17,0.7556,"Biomass"
"271","Black Rockfish","Sampling",0.6,18,0.75,"Biomass"
"272","Black Rockfish","Sampling",0.6,19,0.745,"Biomass"
"273","Black Rockfish","Sampling",0.6,20,0.7364,"Biomass"
"274","Black Rockfish","Sampling",0.7,0,0,"Biomass"
"275","Black Rockfish","Sampling",0.7,1,0,"Biomass"
"276","Black Rockfish","Sampling",0.7,2,0.3446,"Biomass"
"277","Black Rockfish","Sampling",0.7,3,0.5056,"Biomass"
"278","Black Rockfish","Sampling",0.7,4,0.591,"Biomass"
"279","Black Rockfish","Sampling",0.7,5,0.6372,"Biomass"
"280","Black Rockfish","Sampling",0.7,6,0.6678,"Biomass"
"281","Black Rockfish","Sampling",0.7,7,0.6868,"Biomass"
"282","Black Rockfish","Sampling",0.7,8,0.697,"Biomass"
"283","Black Rockfish","Sampling",0.7,9,0.6984,"Biomass"
"284","Black Rockfish","Sampling",0.7,10,0.6978,"Biomass"
"285","Black Rockfish","Sampling",0.7,11,0.6968,"Biomass"
"286","Black Rockfish","Sampling",0.7,12,0.697,"Biomass"
"287","Black Rockfish","Sampling",0.7,13,0.697,"Biomass"
"288","Black Rockfish","Sampling",0.7,14,0.6946,"Biomass"
"289","Black Rockfish","Sampling",0.7,15,0.6894,"Biomass"
"290","Black Rockfish","Sampling",0.7,16,0.6866,"Biomass"
"291","Black Rockfish","Sampling",0.7,17,0.6812,"Biomass"
"292","Black Rockfish","Sampling",0.7,18,0.678,"Biomass"
"293","Black Rockfish","Sampling",0.7,19,0.676,"Biomass"
"294","Black Rockfish","Sampling",0.7,20,0.6722,"Biomass"
"295","Black Rockfish","Sampling",0.8,0,0,"Biomass"
"296","Black Rockfish","Sampling",0.8,1,0,"Biomass"
"297","Black Rockfish","Sampling",0.8,2,0.3078,"Biomass"
"298","Black Rockfish","Sampling",0.8,3,0.461,"Biomass"
"299","Black Rockfish","Sampling",0.8,4,0.5408,"Biomass"
"300","Black Rockfish","Sampling",0.8,5,0.5818,"Biomass"
"301","Black Rockfish","Sampling",0.8,6,0.6088,"Biomass"
"302","Black Rockfish","Sampling",0.8,7,0.6224,"Biomass"
"303","Black Rockfish","Sampling",0.8,8,0.6298,"Biomass"
"304","Black Rockfish","Sampling",0.8,9,0.633,"Biomass"
"305","Black Rockfish","Sampling",0.8,10,0.6354,"Biomass"
"306","Black Rockfish","Sampling",0.8,11,0.6362,"Biomass"
"307","Black Rockfish","Sampling",0.8,12,0.6368,"Biomass"
"308","Black Rockfish","Sampling",0.8,13,0.634,"Biomass"
"309","Black Rockfish","Sampling",0.8,14,0.6338,"Biomass"
"310","Black Rockfish","Sampling",0.8,15,0.6304,"Biomass"
"311","Black Rockfish","Sampling",0.8,16,0.6274,"Biomass"
"312","Black Rockfish","Sampling",0.8,17,0.6252,"Biomass"
"313","Black Rockfish","Sampling",0.8,18,0.6206,"Biomass"
"314","Black Rockfish","Sampling",0.8,19,0.6196,"Biomass"
"315","Black Rockfish","Sampling",0.8,20,0.6168,"Biomass"
"316","Black Rockfish","Sampling",0.9,0,0,"Biomass"
"317","Black Rockfish","Sampling",0.9,1,0,"Biomass"
"318","Black Rockfish","Sampling",0.9,2,0.2742,"Biomass"
"319","Black Rockfish","Sampling",0.9,3,0.406,"Biomass"
"320","Black Rockfish","Sampling",0.9,4,0.4706,"Biomass"
"321","Black Rockfish","Sampling",0.9,5,0.5086,"Biomass"
"322","Black Rockfish","Sampling",0.9,6,0.5244,"Biomass"
"323","Black Rockfish","Sampling",0.9,7,0.5384,"Biomass"
"324","Black Rockfish","Sampling",0.9,8,0.5434,"Biomass"
"325","Black Rockfish","Sampling",0.9,9,0.5492,"Biomass"
"326","Black Rockfish","Sampling",0.9,10,0.5504,"Biomass"
"327","Black Rockfish","Sampling",0.9,11,0.55,"Biomass"
"328","Black Rockfish","Sampling",0.9,12,0.5526,"Biomass"
"329","Black Rockfish","Sampling",0.9,13,0.5524,"Biomass"
"330","Black Rockfish","Sampling",0.9,14,0.5522,"Biomass"
"331","Black Rockfish","Sampling",0.9,15,0.5542,"Biomass"
"332","Black Rockfish","Sampling",0.9,16,0.5522,"Biomass"
"333","Black Rockfish","Sampling",0.9,17,0.5518,"Biomass"
"334","Black Rockfish","Sampling",0.9,18,0.5504,"Biomass"
"335","Black Rockfish","Sampling",0.9,19,0.5466,"Biomass"
"336","Black Rockfish","Sampling",0.9,20,0.5432,"Biomass"
"337","Black Rockfish","Recruitment",0.6,0,0,"Biomass"
"338","Black Rockfish","Recruitment",0.6,1,0.4968,"Biomass"
"339","Black Rockfish","Recruitment",0.6,2,0.5116,"Biomass"
"340","Black Rockfish","Recruitment",0.6,3,0.5386,"Biomass"
"341","Black Rockfish","Recruitment",0.6,4,0.5534,"Biomass"
"342","Black Rockfish","Recruitment",0.6,5,0.571,"Biomass"
"343","Black Rockfish","Recruitment",0.6,6,0.5842,"Biomass"
"344","Black Rockfish","Recruitment",0.6,7,0.5958,"Biomass"
"345","Black Rockfish","Recruitment",0.6,8,0.6074,"Biomass"
"346","Black Rockfish","Recruitment",0.6,9,0.6246,"Biomass"
"347","Black Rockfish","Recruitment",0.6,10,0.6414,"Biomass"
"348","Black Rockfish","Recruitment",0.6,11,0.6528,"Biomass"
"349","Black Rockfish","Recruitment",0.6,12,0.6624,"Biomass"
"350","Black Rockfish","Recruitment",0.6,13,0.6752,"Biomass"
"351","Black Rockfish","Recruitment",0.6,14,0.6744,"Biomass"
"352","Black Rockfish","Recruitment",0.6,15,0.6828,"Biomass"
"353","Black Rockfish","Recruitment",0.6,16,0.6874,"Biomass"
"354","Black Rockfish","Recruitment",0.6,17,0.6926,"Biomass"
"355","Black Rockfish","Recruitment",0.6,18,0.6998,"Biomass"
"356","Black Rockfish","Recruitment",0.6,19,0.7066,"Biomass"
"357","Black Rockfish","Recruitment",0.6,20,0.705,"Biomass"
"358","Black Rockfish","Recruitment",0.7,0,0,"Biomass"
"359","Black Rockfish","Recruitment",0.7,1,0.5008,"Biomass"
"360","Black Rockfish","Recruitment",0.7,2,0.5116,"Biomass"
"361","Black Rockfish","Recruitment",0.7,3,0.5368,"Biomass"
"362","Black Rockfish","Recruitment",0.7,4,0.5558,"Biomass"
"363","Black Rockfish","Recruitment",0.7,5,0.5746,"Biomass"
"364","Black Rockfish","Recruitment",0.7,6,0.6072,"Biomass"
"365","Black Rockfish","Recruitment",0.7,7,0.6178,"Biomass"
"366","Black Rockfish","Recruitment",0.7,8,0.6362,"Biomass"
"367","Black Rockfish","Recruitment",0.7,9,0.654,"Biomass"
"368","Black Rockfish","Recruitment",0.7,10,0.6656,"Biomass"
"369","Black Rockfish","Recruitment",0.7,11,0.6758,"Biomass"
"370","Black Rockfish","Recruitment",0.7,12,0.6894,"Biomass"
"371","Black Rockfish","Recruitment",0.7,13,0.6928,"Biomass"
"372","Black Rockfish","Recruitment",0.7,14,0.7028,"Biomass"
"373","Black Rockfish","Recruitment",0.7,15,0.7072,"Biomass"
"374","Black Rockfish","Recruitment",0.7,16,0.7064,"Biomass"
"375","Black Rockfish","Recruitment",0.7,17,0.7072,"Biomass"
"376","Black Rockfish","Recruitment",0.7,18,0.7054,"Biomass"
"377","Black Rockfish","Recruitment",0.7,19,0.6948,"Biomass"
"378","Black Rockfish","Recruitment",0.7,20,0.685,"Biomass"
"379","Black Rockfish","Recruitment",0.8,0,0,"Biomass"
"380","Black Rockfish","Recruitment",0.8,1,0.5066,"Biomass"
"381","Black Rockfish","Recruitment",0.8,2,0.5206,"Biomass"
"382","Black Rockfish","Recruitment",0.8,3,0.5398,"Biomass"
"383","Black Rockfish","Recruitment",0.8,4,0.5596,"Biomass"
"384","Black Rockfish","Recruitment",0.8,5,0.573,"Biomass"
"385","Black Rockfish","Recruitment",0.8,6,0.5898,"Biomass"
"386","Black Rockfish","Recruitment",0.8,7,0.603,"Biomass"
"387","Black Rockfish","Recruitment",0.8,8,0.622,"Biomass"
"388","Black Rockfish","Recruitment",0.8,9,0.6358,"Biomass"
"389","Black Rockfish","Recruitment",0.8,10,0.647,"Biomass"
"390","Black Rockfish","Recruitment",0.8,11,0.6568,"Biomass"
"391","Black Rockfish","Recruitment",0.8,12,0.6632,"Biomass"
"392","Black Rockfish","Recruitment",0.8,13,0.6682,"Biomass"
"393","Black Rockfish","Recruitment",0.8,14,0.674,"Biomass"
"394","Black Rockfish","Recruitment",0.8,15,0.6728,"Biomass"
"395","Black Rockfish","Recruitment",0.8,16,0.672,"Biomass"
"396","Black Rockfish","Recruitment",0.8,17,0.6718,"Biomass"
"397","Black Rockfish","Recruitment",0.8,18,0.666,"Biomass"
"398","Black Rockfish","Recruitment",0.8,19,0.6618,"Biomass"
"399","Black Rockfish","Recruitment",0.8,20,0.6562,"Biomass"
"400","Black Rockfish","Recruitment",0.9,0,0,"Biomass"
"401","Black Rockfish","Recruitment",0.9,1,0.5032,"Biomass"
"402","Black Rockfish","Recruitment",0.9,2,0.5066,"Biomass"
"403","Black Rockfish","Recruitment",0.9,3,0.5212,"Biomass"
"404","Black Rockfish","Recruitment",0.9,4,0.5276,"Biomass"
"405","Black Rockfish","Recruitment",0.9,5,0.54,"Biomass"
"406","Black Rockfish","Recruitment",0.9,6,0.55,"Biomass"
"407","Black Rockfish","Recruitment",0.9,7,0.5624,"Biomass"
